"name","rank","year","industry","sector","headquarters_state","headquarters_city","market_value_mil","revenue_mil","profit_mil","asset_mil","employees","founder_is_ceo","female_ceo","newcomer_to_fortune_500","global_500"
"Nationwide Insurance Enterprise",127,2001,"Insurance: Property and Casualty (Stock)",,"OH",,,14762.1,,,,,,,
"Coca-Cola Enterprises, Inc.",128,2001,"Beverages",,"GA",,,14750,,,,,,,
"Hartford Financial Services Group Inc.",129,2001,"Insurance: Property and Casualty (Stock)",,"CT",,,14703,,,,,,,
"Rite Aid Corporation",130,2001,"Food & Drug Stores",,"PA",,,14681.4,,,,,,,
"Publix Super Markets, Inc.",132,2001,"Food & Drug Stores",,"FL",,,14575,,,,,,,
"Occidental Petroleum Corporation",133,2001,"Mining, Crude-Oil Production",,"CA",,,14543,,,,,,,
"The May Department Stores Company",134,2001,"General Merchandisers",,"MO",,,14511,,,,,,,
"Fleming Companies, Inc.",135,2001,"Wholesalers: Food and Grocery",,"TX",,,14443.8,,,,,,,
"The Goodyear Tire & Rubber Company and Subsidiaries",136,2001,"Rubber and Plastic Products",,"OH",,,14417.1,,,,,,,
"Ultramar Diamond Shamrock Corporation",137,2001,"Petroleum Refining",,"TX",,,14292.4,,,,,,,
"Valero Energy Corporation",138,2001,"Food Services",,"IL",,,14243,,,,,,,
"Solectron Corporation",139,2001,"Semiconductors and Other Electronic Components",,"CA",,,14137.5,,,,,,,
"Lear Corporation",140,2001,"Motor Vehicles & Parts",,"MI",,,14072.8,,,,,,,
"Eastman Kodak Company",141,2001,"Scientific, Photographic and Control Equipment",,"NY",,,13994,,,,,,,
"Kimberly-Clark Corporation",142,2001,"Forest and Paper Products",,"TX",,,13982,,,,,,,
"American Home Products Corporation",143,2001,"Pharmaceuticals",,"NJ",,,13809.5,,,,,,,
"Abbott Laboratories",144,2001,"Pharmaceuticals",,"IL",,,13745.9,,,,,,,
"Winn-Dixie Stores, Inc.",145,2001,"Food & Drug Stores",,"FL",,,13697.5,,,,,,,
"American Electric Power Company, Inc.",146,2001,"Utilities: Gas and Electric",,"OH",,,13694,,,,,,,
"The Gap, Inc.",147,2001,"Specialty Retailers",,"CA",,,13673.5,,,,,,,
"Halliburton",148,2001,"Engineering & Construction",,"TX",,,13344,,,,,,,
"Deere & Company",149,2001,"Industrial and Farm Equipment",,"IL",,,13136.8,,,,,,,
"Textron Inc.",150,2001,"Aerospace & Defense",,"RI",,,13090,,,,,,,
"Arrow Electronics",151,2001,"Wholesalers: Electronics and Office Equipment",,"NY",,,12959.3,,,,,,,
"Archer Daniels Midland Company",152,2001,"Food Production",,"IL",,,12876.8,,,,,,,
"Dana Corporation",153,2001,"Motor Vehicles & Parts",,"OH",,,12691,,,,,,,
"Sunoco, Inc.",154,2001,"Petroleum Refining",,"PA",,,12664,,,,,,,
"Circuit City Stores, Inc.",155,2001,"Specialty Retailers",,"VA",,,12614.4,,,,,,,
"Best Buy Co. Inc.",156,2001,"Specialty Retailers",,"MN",,,12494,,,,,,,
"Waste Management, Inc.",157,2001,"Waste Management",,"TX",,,12492,,,,,,,
"Amerada Hess Corporation",158,2001,"Petroleum Refining",,"NY",,,12277,,,,,,,
"Anheuser-Busch",159,2001,"Beverages",,"MO",,,12261.8,,,,,,,
"Farmland Industries, Inc.",160,2001,"Food Production",,"MO",,,12239,,,,,,,
"Household International, Inc.",161,2001,"Diversified Financials",,"IL",,,11960.9,,,,,,,
"Union Pacific Corporation",162,2001,"Railroads",,"NE",,,11878,,,,,,,
"Texas Instruments Incorporated",163,2001,"Semiconductors and Other Electronic Components",,"TX",,,11875,,,,,,,
"Edison International",164,2001,"Utilities: Gas and Electric",,"CA",,,11635,,,,,,,
"AmeriSource Health Corporation",165,2001,"Wholesalers: Health Care",,"PA",,,11610,,,,,,,
"Xcel Energy Inc.",166,2001,"Utilities: Gas and Electric",,"MN",,,11591.8,,,,,,,
"Office Depot, Inc.",167,2001,"Specialty Retailers",,"FL",,,11569.7,,,,,,,
"PacifiCare Health Systems Inc.",169,2001,"Health Care",,"CA",,,11467.9,,,,,,,
"Northwest Airlines Corporation",170,2001,"Airlines",,"MN",,,11415,,,,,,,
"Tenet Healthcare Corporation",171,2001,"Health Care",,"CA",,,11414,,,,,,,
"The Williams Companies, Inc.",172,2001,"Specialty Retailers",,"NJ",,,11332,,,,,,,
"Massachusetts Mutual Life Insurance Company",173,2001,"Insurance: Life, Health (Mutual)",,"MA",,,11274.8,,,,,,,
"American General Corporation",174,2001,"Insurance: Life, Health (Stock)",,"TX",,,11063,,,,,,,
"Fluor Corporation",175,2001,"Engineering & Construction",,"CA",,,11056,,,,,,,
"Eli Lilly & Company",176,2001,"Pharmaceuticals",,"IN",,,10862.2,,,,,,,
"Manpower Inc.",177,2001,"Temporary Help",,"WI",,,10842.8,,,,,,,
"Staples, Inc.",178,2001,"Specialty Retailers",,"MA",,,10673.7,,,,,,,
"Humana Inc.",179,2001,"Health Care",,"KY",,,10514,,,,,,,
"General Dynamics Corporation",180,2001,"Aerospace & Defense",,"VA",,,10359,,,,,,,
"Whirlpool Corporation",181,2001,"Electronics, Electrical Equipment",,"MI",,,10325,,,,,,,
"The Bear Stearns Companies, Inc.",182,2001,"Securities",,"NY",,,10276.6,,,,,,,
"Marsh & McLennan Companies, Inc.",183,2001,"Diversified Financials",,"NY",,,10157,,,,,,,
"Oracle Corporation",184,2001,"Computer Software",,"CA",,,10130.1,,,,,,,
"The Limited, Inc.",185,2001,"Specialty Retailers",,"OH",,,10104.6,,,,,,,
"Marriott International, Inc.",186,2001,"Hotels, Casinos, Resorts",,"MD",,,10017,,,,,,,
"Entergy Corporation",187,2001,"Utilities: Gas and Electric",,"LA",,,10016.1,,,,,,,
"Gillette Company",188,2001,"Metal Products",,"MA",,,9986,,,,,,,
"Illinois Tool Works, Inc.",189,2001,"Metal Products",,"IL",,,9983.6,,,,,,,
"U.S. Bancorp",190,2001,"Commercial Banks",,"MN",,,9965.5,,,,,,,
"Continental Airlines",191,2001,"Airlines",,"TX",,,9899,,,,,,,
"Schering-Plough Corporation",192,2001,"Pharmaceuticals",,"NJ",,,9815,,,,,,,
"AFLAC, Inc.",193,2001,"Insurance: Life, Health (Stock)",,"GA",,,9720,,,,,,,
"Gateway, Inc.",194,2001,"Computers, Office Equipment",,"CA",,,9600.6,,,,,,,
"The TJX Companies, Inc.",195,2001,"Specialty Retailers",,"MA",,,9579,,,,,,,
"Applied Materials, Inc.",196,2001,"Scientific, Photographic and Control Equipment",,"CA",,,9564.4,,,,,,,
"Consolidated Edison, Inc.",197,2001,"Utilities: Gas and Electric",,"NY",,,9457.8,,,,,,,
"UnumProvident Corporation",198,2001,"Insurance: Life, Health (Stock)",,"TN",,,9446.9,,,,,,,
"H.J. Heinz Company",199,2001,"Food Consumer Products",,"PA",,,9407.9,,,,,,,
"Computer Sciences Corporation",200,2001,"Computer And Data Services",,"CA",,,9370.7,,,,,,,
"Colgate-Palmolive Company",201,2001,"Soaps, Cosmetics",,"NY",,,9357.9,,,,,,,
"US Airways Group, Inc.",202,2001,"Airlines",,"VA",,,9269,,,,,,,
"Dominion Resources, Inc.",203,2001,"Utilities: Gas and Electric",,"VA",,,9260,,,,,,,
"WellPoint Health Networks Inc.",204,2001,"Health Care",,"CA",,,9229,,,,,,,
"Ingersoll-Rand Company",205,2001,"Industrial and Farm Equipment",,"NJ",,,9220,,,,,,,
"Burlington Northern Santa Fe Corp.",206,2001,"Railroads",,"TX",,,9205,,,,,,,
"Unocal Corporation",207,2001,"Mining, Crude-Oil Production",,"CA",,,9202,,,,,,,
"Avnet, Inc.",208,2001,"Wholesalers: Electronics and Office Equipment",,"AZ",,,9172.2,,,,,,,
"Health Net Inc.",209,2001,"Health Care",,"CA",,,9076.6,,,,,,,
"National City Corporation",210,2001,"Commercial Banks",,"OH",,,9050.8,,,,,,,
"CMS Energy Corporation",211,2001,"Utilities: Gas and Electric",,"MI",,,8998,,,,,,,
"Nike, Inc.",212,2001,"Apparel",,"OR",,,8995.1,,,,,,,
"Eaton Corporation",213,2001,"Electronics, Electrical Equipment",,"OH",,,8988,,,,,,,
"Guardian Life Insurance Co. of America",214,2001,"Insurance: Life, Health (Mutual)",,"NY",,,8967.6,,,,,,,
"Principal Financial Group",215,2001,"Insurance: Life, Health (Stock)",,"IA",,,8884.9,,,,,,,
"EMC Corporation",216,2001,"Computer Peripherals",,"MA",,,8872.8,,,,,,,
"Smurfit-Stone Container Corporation",217,2001,"Forest and Paper Products",,"IL",,,8839,,,,,,,
"Dillard's, Inc.",218,2001,"General Merchandisers",,"AR",,,8818,,,,,,,
"Anthem Insurance Companies,Inc.",219,2001,"Health Care",,"IN",,,8771.1,,,,,,,
"PPG Industies, Inc.",220,2001,"Chemicals",,"PA",,,8629,,,,,,,
"SunTrust Banks, Inc.",221,2001,"Commercial Banks",,"GA",,,8619,,,,,,,
"The St. Paul Companies, Inc.",222,2001,"Insurance: Property and Casualty (Stock)",,"MN",,,8607.6,,,,,,,
"Cenex Harvest States Cooperatives",223,2001,"Wholesalers: Food and Grocery",,"MN",,,8571.4,,,,,,,
"United Services Automobile Association",224,2001,"Insurance: Property and Casualty (Stock)",,"TX",,,8551,,,,,,,
"CSX Corporation",225,2001,"Railroads",,"VA",,,8526.3,,,,,,,
"KeyCorp",226,2001,"Commercial Banks",,"OH",,,8471,,,,,,,
"Navistar International Corporation",227,2001,"Motor Vehicles & Parts",,"IL",,,8451,,,,,,,
"CInergy Corp.",228,2001,"Utilities: Gas and Electric",,"OH",,,8422,,,,,,,
"Genuine Parts Company",229,2001,"Wholesalers: Diversified",,"GA",,,8369.9,,,,,,,
"SCI Systems, Inc.",230,2001,"Semiconductors and Other Electronic Components",,"AL",,,8342.6,,,,,,,
"Conseco, Inc.",231,2001,"Insurance: Life, Health (Stock)",,"IN",,,8296.4,,,,,,,
"Northrop Grumman Corporation",232,2001,"Aerospace & Defense",,"CA",,,8287,,,,,,,
"Comcast Corporation",233,2001,"Telecommunications",,"PA",,,8218.6,,,,,,,
"Ashland Inc.",234,2001,"Chemicals",,"KY",,,8190,,,,,,,
"R. J. Reynolds Tobacco Holdings, Inc.",235,2001,"Tobacco",,"NC",,,8167,,,,,,,
"Apple Computer, Inc.",236,2001,"Computers, Office Equipment",,"CA",,,7983,,,,,,,
"The Pepsi Bottling Group, Inc.",237,2001,"Beverages",,"NY",,,7982,,,,,,,
"Paccar Inc.",238,2001,"Motor Vehicles & Parts",,"WA",,,7919.4,,,,,,,
"Avista Corp.",239,2001,"Energy",,"WA",,,7911.5,,,,,,,
"MBNA Corporation",240,2001,"Commercial Banks",,"DE",,,7868.9,,,,,,,
"Boise Cascade Corporation",241,2001,"Forest and Paper Products",,"ID",,,7806.7,,,,,,,
"PNC Financial Services Group Inc.",242,2001,"Commercial Banks",,"PA",,,7623,,,,,,,
"American Standard Companies, Inc.",243,2001,"Industrial and Farm Equipment",,"NJ",,,7598,,,,,,,
"John Hancock Financial Services Inc.",244,2001,"Insurance: Life, Health (Stock)",,"MA",,,7506.4,,,,,,,
"Exelon Corporation",245,2001,"Utilities: Gas and Electric",,"IL",,,7499,,,,,,,
"The Bank of New York Company, Inc.",246,2001,"Commercial Banks",,"NY",,,7486,,,,,,,
"Aon Corporation",247,2001,"Diversified Financials",,"IL",,,7375,,,,,,,
"Micron Technology, Inc.",248,2001,"Semiconductors and Other Electronic Components",,"ID",,,7336.3,,,,,,,
"Premcor Inc.",249,2001,"Petroleum Refining",,"MO",,,7301.7,,,,,,,
"Crown Cork & Seal Company, Inc.",250,2001,"Metal Products",,"PA",,,7289,,,,,,,
"Wachovia Corporation",251,2001,"Commercial Banks",,"NC",,,7276.6,,,,,,,
"ARAMARK Corporation",253,2001,"Diversified Outsourcing Services",,"PA",,,7262.9,,,,,,,
"Chubb Corporation",254,2001,"Insurance: Property and Casualty (Stock)",,"NJ",,,7251.5,,,,,,,
"Masco Corporation",255,2001,"Metal Products",,"MI",,,7243,,,,,,,
"Rockwell International Corporation",256,2001,"Electronics, Electrical Equipment",,"WI",,,7220,,,,,,,
"Tyson Foods, Inc.",257,2001,"Food Production",,"AR",,,7158,,,,,,,
"Baxter International Inc.",258,2001,"Medical Products and Equipment",,"IL",,,7148,,,,,,,
"Sempra Energy",259,2001,"Utilities: Gas and Electric",,"CA",,,7143,,,,,,,
"NorthWestern Corporation",261,2001,"Energy",,"SD",,,7132,,,,,,,
"Safeco Corporation",262,2001,"Insurance: Property and Casualty (Stock)",,"WA",,,7118.4,,,,,,,
"Tricon Global Restaurants, Inc.",263,2001,"Food Services",,"KY",,,7093,,,,,,,
"FPL Group, Inc.",264,2001,"Utilities: Gas and Electric",,"FL",,,7082,,,,,,,
"ALLTEL Corporation",265,2001,"Telecommunications",,"AR",,,7067,,,,,,,
"FirstEnergy Corporation",266,2001,"Utilities: Gas and Electric",,"OH",,,7029,,,,,,,
"Adams Resources & Energy, Inc.",267,2001,"Energy",,"TX",,,7022.2,,,,,,,
"Firstar Corporation",268,2001,"Commercial Banks",,"WI",,,6997.8,,,,,,,
"Kellogg Company",269,2001,"Food Consumer Products",,"MI",,,6954.7,,,,,,,
"Newell Rubbermaid Inc.",270,2001,"Metal Products",,"IL",,,6934.7,,,,,,,
"America Online",271,2001,"Computer And Data Services",,"NY",,,6886,,,,,,,
"Unisys Corporation",272,2001,"Computer And Data Services",,"PA",,,6885,,,,,,,
"Rohm and Haas Company",273,2001,"Chemicals",,"PA",,,6879,,,,,,,
"Lincoln National Corporation",274,2001,"Insurance: Life, Health (Stock)",,"PA",,,6851.5,,,,,,,
"Public Service Enterprise Group, Inc.",275,2001,"Utilities: Gas and Electric",,"NJ",,,6848,,,,,,,
"Express Scripts",276,2001,"Health Care",,"MO",,,6786.9,,,,,,,
"The Progressive Corporation",277,2001,"Insurance: Property and Casualty (Stock)",,"OH",,,6771,,,,,,,
"General Mills, Inc.",278,2001,"Food Consumer Products",,"MN",,,6700.2,,,,,,,
"AES Corporation",279,2001,"Utilities: Gas and Electric",,"VA",,,6691,,,,,,,
"Interpublic Group of Companies, Inc.",279,2001,"Advertising, Marketing",,"NY",,,6726.8,,,,,,,
"ONEOK Inc.",280,2001,"Utilities: Gas and Electric",,"OK",,,6642.9,,,,,,,
"Plains Resources, Inc.",281,2001,"Mining, Crude-Oil Production",,"TX",,,6630.6,,,,,,,
"Cummins Engine Company, Inc.",282,2001,"Industrial and Farm Equipment",,"IN",,,6597,,,,,,,
"Saks, Incorporated",283,2001,"General Merchandisers",,"AL",,,6581.2,,,,,,,
"Union Carbide Corporation",284,2001,"Chemicals",,"CT",,,6526,,,,,,,
"Seagate Technology, Inc.",285,2001,"Computer Peripherals",,"CA",,,6448,,,,,,,
"Automatic Data Processing, Inc.",286,2001,"Computer And Data Services",,"NJ",,,6287.5,,,,,,,
"Campbell Soup Co.",287,2001,"Food Consumer Products",,"NJ",,,6267,,,,,,,
"Gannett Co., Inc.",288,2001,"Publishing, Printing",,"VA",,,6244.4,,,,,,,
"CNF Transportation",289,2001,"Trucking, Truck Leasing",,"CA",,,6166.3,,,,,,,
"CIT Group, Inc.",290,2001,"Diversified Financials",,"NY",,,6160.4,,,,,,,
"Norfolk Southern Corporation",291,2001,"Railroads",,"VA",,,6159,,,,,,,
"Omnicom Group Inc.",292,2001,"Advertising, Marketing",,"NY",,,6154.2,,,,,,,
"TruServ Corporation",293,2001,"General Merchandisers",,"WI",,,6152,,,,,,,
"NiSource Inc.",294,2001,"Utilities: Gas and Electric",,"IN",,,6135.4,,,,,,,
"Computer Associates International, Inc.",295,2001,"Computer Software",,"NY",,,6103,,,,,,,
"Science Applications International Corporation",296,2001,"Computer And Data Services",,"CA",,,6091.7,,,,,,,
"Sonic Automotive, Inc.",297,2001,"Automotive Retailing, Services",,"NC",,,6052.5,,,,,,,
"Federal-Mogul Corporation",298,2001,"Motor Vehicles & Parts",,"MI",,,6013.2,,,,,,,
"Mellon Financial Corp.",299,2001,"Commercial Banks",,"PA",,,5979,,,,,,,
"The ServiceMaster Company",300,2001,"Diversified Outsourcing Services",,"IL",,,5970.6,,,,,,,
"NCR Corporation",301,2001,"Computers, Office Equipment",,"OH",,,5959,,,,,,,
"Centex Corporation",302,2001,"Engineering & Construction",,"TX",,,5956.4,,,,,,,
"Providian Financial Corporation",303,2001,"Commercial Banks",,"CA",,,5948.2,,,,,,,
"State Street Corporation",304,2001,"Commercial Banks",,"MA",,,5921,,,,,,,
"Northeast Utilities",305,2001,"Utilities: Gas and Electric",,"CT",,,5901.2,,,,,,,
"Owens-Illinois, Inc.",306,2001,"Building Materials, Glass",,"OH",,,5814.8,,,,,,,
"R.R. Donnelley & Sons Company",307,2001,"Publishing, Printing",,"IL",,,5764.3,,,,,,,
"Suiza Foods Corporation",308,2001,"Food Production",,"TX",,,5756.3,,,,,,,
"VF Corporation",309,2001,"Apparel",,"NC",,,5747.9,,,,,,,
"Avon Products, Inc.",310,2001,"Soaps, Cosmetics",,"NY",,,5714.6,,,,,,,
"Nextel Communications, Inc.",311,2001,"Telecommunications",,"VA",,,5714,,,,,,,
"Allied Waste Industries, Inc.",312,2001,"Waste Management",,"AZ",,,5707.5,,,,,,,
"First Data Corporation",313,2001,"Computer And Data Services",,"GA",,,5705.2,,,,,,,
"Anadarko Petroleum Corp.",314,2001,"Mining, Crude-Oil Production",,"TX",,,5686,,,,,,,
"PPL Corporation",315,2001,"Utilities: Gas and Electric",,"PA",,,5683,,,,,,,
"Southwest Airlines Company",316,2001,"Airlines",,"TX",,,5649.6,,,,,,,
"DTE Energy Company",318,2001,"Utilities: Gas and Electric",,"MI",,,5597,,,,,,,
"Mattel, Inc.",319,2001,"Toys, Sporting Goods",,"CA",,,5589.5,,,,,,,
"Litton Industries, Inc.",320,2001,"Electronics, Electrical Equipment",,"CA",,,5588.2,,,,,,,
"Engelhard Corporation",321,2001,"Chemicals",,"NJ",,,5542.6,,,,,,,
"The BFGoodrich Company",322,2001,"Aerospace & Defense",,"NC",,,5531.5,,,,,,,
"Nortstrom, Inc.",323,2001,"General Merchandisers",,"WA",,,5528.5,,,,,,,
"Air Products & Chemicals",324,2001,"Chemicals",,"PA",,,5495.5,,,,,,,
"fo",325,2001,"Metal Products",,"IL",,,5491.8,,,,,,,
"Ikon Office Solutions, Inc.",326,2001,"Wholesalers: Electronics and Office Equipment",,"PA",,,5446.9,,,,,,,
"Capital One Financial Corporation",327,2001,"Diversified Financials",,"VA",,,5424.3,,,,,,,
"Dover Corporation",328,2001,"Industrial and Farm Equipment",,"NY",,,5400.7,,,,,,,
"coms",329,2001,"Network and Other Communications Equipment",,"CA",,,5391.5,,,,,,,
"Parker-Hannifin Corporation",330,2001,"Industrial and Farm Equipment",,"OH",,,5355.3,,,,,,,
"Clear Channel Communications, Inc.",331,2001,"Entertainment",,"TX",,,5345.3,,,,,,,
"BB&T Corp",332,2001,"Commercial Banks",,"NC",,,5338.2,,,,,,,
"Ryder System, Inc.",333,2001,"Trucking, Truck Leasing",,"FL",,,5336.8,,,,,,,
"Corning Inc.",334,2001,"Building Materials, Glass",,"NY",,,4812.5,,,,,,,
"Eastman Chemical Company",334,2001,"Chemicals",,"TN",,,5292,,,,,,,
"Baker Hughes Incorporated",335,2001,"Industrial and Farm Equipment",,"TX",,,5233.8,,,,,,,
"Graybar Electric Company, Inc.",336,2001,"Wholesalers: Electronics and Office Equipment",,"MO",,,5213.9,,,,,,,
"The Sherwin-Williams Company",337,2001,"Chemicals",,"OH",,,5211.6,,,,,,,
"GPUInc.",338,2001,"Utilities: Gas and Electric",,"NJ",,,5196.3,,,,,,,
"OfficeMax, Inc.",339,2001,"Specialty Retailers",,"OH",,,5156.4,,,,,,,
"ArvinMeritor, Inc.",340,2001,"Motor Vehicles & Parts",,"MI",,,5153,,,,,,,
"Smithfield Foods",341,2001,"Food Consumer Products",,"VA",,,5150.5,,,,,,,
"Keyspan Corporation",342,2001,"Utilities: Gas and Electric",,"NY",,,5121.5,,,,,,,
"The Charles Schwab Corporation",343,2001,"Securities",,"CA",,,4713.2,,,,,,,
"Tesoro Petroleum Corporation",343,2001,"Petroleum Refining",,"TX",,,5102.5,,,,,,,
"Tribune Company",344,2001,"Publishing, Printing",,"IL",,,5079.6,,,,,,,
"TransMontaigne Inc.",345,2001,"Pipelines",,"CO",,,5071.4,,,,,,,
"Praxair, Inc.",346,2001,"Chemicals",,"CT",,,5043,,,,,,,
"The Quaker Oats Company",347,2001,"Food Consumer Products",,"IL",,,5041,,,,,,,
"Conectiv",348,2001,"Utilities: Gas and Electric",,"DE",,,5029.1,,,,,,,
"Medtronic, Inc.",349,2001,"Medical Products and Equipment",,"MN",,,5014.6,,,,,,,
"W.W. Grainger, Inc.",350,2001,"Wholesalers: Diversified",,"IL",,,4977,,,,,,,
"The LTV Corporation",352,2001,"Metals",,"OH",,,4934,,,,,,,
"Owens Corning",353,2001,"Specialty Retailers",,"MA",,,4932.1,,,,,,,
"Pacific Life Insurance Company",354,2001,"Insurance: Life, Health (Mutual)",,"CA",,,4897.1,,,,,,,
"Park Place Entertainment",355,2001,"Hotels, Casinos, Resorts",,"NV",,,4896,,,,,,,
"United Auto Group, Inc.",356,2001,"Automotive Retailing, Services",,"MI",,,4884,,,,,,,
"Crestline Capital",359,2001,"Hotels, Casinos, Resorts",,"MD",,,4817.2,,,,,,,
"RadioShack Corporation",360,2001,"Specialty Retailers",,"TX",,,4794.7,,,,,,,
"American Family Mutual Insurance Company",361,2001,"Insurance: Property and Casualty (Stock)",,"WI",,,4771.4,,,,,,,
"Dole Food Company, Inc.",362,2001,"Food Consumer Products",,"CA",,,4763.1,,,,,,,
"Sodexho Marriott Services, Inc.",363,2001,"Diversified Outsourcing Services",,"MD",,,4734,,,,,,,
"Quantum Corporation",364,2001,"Computer Peripherals",,"CA",,,4727.2,,,,,,,
"Lennar Corporation",365,2001,"Engineering & Construction",,"FL",,,4707,,,,,,,
"Venator Group, Inc.",366,2001,"Specialty Retailers",,"NY",,,4691,,,,,,,
"Cendant",367,2001,"zMiscellaneous",,"NY",,,4673,,,,,,,
"Willamette Industries, Inc.",368,2001,"Forest and Paper Products",,"OR",,,4651.8,,,,,,,
"Murphy Oil Corporation",370,2001,"Petroleum Refining",,"AR",,,4640.7,,,,,,,
"USA Networks, Inc.",371,2001,"Entertainment",,"NY",,,4621.2,,,,,,,
"AK Steel Holding Corporation",372,2001,"Metals",,"OH",,,4611.5,,,,,,,
"Nucor Corporation",373,2001,"Metals",,"NC",,,4586.1,,,,,,,
"The Black & Decker Corporation",374,2001,"Industrial and Farm Equipment",,"MD",,,4560.8,,,,,,,
"Dollar General Corporation",375,2001,"General Merchandisers",,"TN",,,4551.5,,,,,,,
"Golden State Bancorp",376,2001,"Savings Institutions",,"CA",,,4546.6,,,,,,,
"Niagara Mohawk Holdings, Inc.",377,2001,"Utilities: Gas and Electric",,"NY",,,4539.3,,,,,,,
"Phelps Dodge Corporation",378,2001,"Metals",,"AZ",,,4525.1,,,,,,,
"Pitney Bowes, Inc.",379,2001,"Computers, Office Equipment",,"CT",,,4522.1,,,,,,,
"Brunswick Corporation",380,2001,"Transportation Equipment",,"IL",,,4507.2,,,,,,,
"Kelly Services, Inc.",381,2001,"Temporary Help",,"MI",,,4487.3,,,,,,,
"AutoZone, Inc.",382,2001,"Specialty Retailers",,"TN",,,4482.7,,,,,,,
"Cooper Industries, Incorporated",383,2001,"Electronics, Electrical Equipment",,"TX",,,4459.9,,,,,,,
"Cablevision Systems Corp.",385,2001,"Telecommunications",,"NY",,,4411,,,,,,,
"Starwood Hotels & Resorts Worldwide, Inc.",386,2001,"Hotels, Casinos, Resorts",,"NY",,,4402,,,,,,,
"Flowers Industries, Inc.",387,2001,"Food Consumer Products",,"GA",,,4376.9,,,,,,,
"The Mead Corporation",388,2001,"Forest and Paper Products",,"OH",,,4368.1,,,,,,,
"The Est_e Lauder Companies Inc.",389,2001,"Soaps, Cosmetics",,"NY",,,4366.8,,,,,,,
"Temple-Inland Inc.",390,2001,"Forest and Paper Products",,"TX",,,4286,,,,,,,
"The McGraw-Hill Companies, Inc.",391,2001,"Publishing, Printing",,"NY",,,4281,,,,,,,
"Leggett & Platt, Incorporated",392,2001,"Furniture",,"MO",,,4276.3,,,,,,,
"Fifth Third Bancorp",393,2001,"Commercial Banks",,"OH",,,4276.1,,,,,,,
"Mutual of Omaha Insurance Companies",394,2001,"Insurance: Life, Health (Mutual)",,"NE",,,4274.2,,,,,,,
"Maytag Corporation",395,2001,"Electronics, Electrical Equipment",,"IA",,,4247.5,,,,,,,
"Avis Rent A Car, Inc.",396,2001,"Automotive Retailing, Services",,"NY",,,4243.7,,,,,,,
"The Pittston Company",397,2001,"Mail, Package, and Freight Delivery",,"VA",,,4235.2,,,,,,,
"Hershey Foods Corporation",398,2001,"Food Consumer Products",,"PA",,,4221,,,,,,,
"Bethlehem Steel Corporation",399,2001,"Metals",,"PA",,,4196.6,,,,,,,
"HEALTHSOUTH Corporation",400,2001,"Health Care",,"AL",,,4195.1,,,,,,,
"USA Education, Inc.",401,2001,"Diversified Financials",,"VA",,,4166.3,,,,,,,
"Pulte Corporation",402,2001,"Engineering & Construction",,"MI",,,4159.1,,,,,,,
"TruServ Corporation",403,2001,"Wholesalers: Diversified",,"IL",,,4159,,,,,,,
"Jones Apparel Group, Inc.",404,2001,"Apparel",,"PA",,,4143,,,,,,,
"Kerr-McGee",405,2001,"Mining, Crude-Oil Production",,"OK",,,4121,,,,,,,
"Progress Energy, Inc.",406,2001,"Utilities: Gas and Electric",,"NC",,,4118.9,,,,,,,
"Autoliv, Inc.",407,2001,"Motor Vehicles & Parts",,"UT",,,4116.1,,,,,,,
"Oxford Health Plans, Inc.",408,2001,"Health Care",,"CT",,,4111.8,,,,,,,
"Encompass Services Corporation",409,2001,"Diversified Outsourcing Services",,"TX",,,4099.4,,,,,,,
"Barnes & Noble Inc.",410,2001,"Specialty Retailers",,"NY",,,4095.1,,,,,,,
"Comerica Incorporated",411,2001,"Commercial Banks",,"MI",,,4087.5,,,,,,,
"The Clorox Company",412,2001,"Soaps, Cosmetics",,"CA",,,4083,,,,,,,
"Dean Foods Company",413,2001,"Food Production",,"IL",,,4065.6,,,,,,,
"Lyondell Chemical Company",414,2001,"Chemicals",,"TX",,,4036,,,,,,,
"Longs Drug Stores Corporation",415,2001,"Food & Drug Stores",,"CA",,,4027.1,,,,,,,
"Nash Finch Company",416,2001,"Wholesalers: Food and Grocery",,"MN",,,4015.5,,,,,,,
"Allegheny Energy Incorporated",417,2001,"Utilities: Gas and Electric",,"MD",,,4011.9,,,,,,,
"Ames Department Stores, Inc.",418,2001,"General Merchandisers",,"CT",,,4000,,,,,,,
"Merisel, Inc.",419,2001,"Wholesalers: Electronics and Office Equipment",,"CA",,,3981,,,,,,,
"Foster Wheeler Corporation",420,2001,"Engineering & Construction",,"NJ",,,3969.4,,,,,,,
"Golden West Financial Corporation",421,2001,"Savings Institutions",,"CA",,,3957.4,,,,,,,
"Shopko Stores, Inc.",422,2001,"Specialty Retailers",,"WI",,,3951.4,,,,,,,
"United Stationers Inc.",423,2001,"Wholesalers: Electronics and Office Equipment",,"IL",,,3944.9,,,,,,,
"Advanced Micro Devices, Inc.",424,2001,"Semiconductors and Other Electronic Components",,"CA",,,3891.8,,,,,,,
"KB Home",424,2001,"Engineering & Construction",,"CA",,,3930.9,,,,,,,
"FMC Corporation",425,2001,"Chemicals",,"IL",,,3925.5,,,,,,,
"Sanmina Corporation",426,2001,"Semiconductors and Other Electronic Components",,"CA",,,3911.6,,,,,,,
"ITT Industries, Inc.",427,2001,"Engineering & Construction",,"NE",,,3871,,,,,,,
"SouthTrust Corporation",427,2001,"Commercial Banks",,"AL",,,3899.8,,,,,,,
